name,norad_id,epoch_year,epoch_day,inclination_deg,raan_deg,eccentricity,arg_perigee_deg,mean_anomaly_deg,mean_motion_rev_per_day,bstar_drag,classification,source,line1,line2,semi_major_axis_km,orbital_period_min,altitude_km
ALISIO-1,58562,26,61.17471344,97.5464,135.1319,0.0005467,339.3363,20.7647,909.7274507999999,0.00023967,U,active,1 58562U 23185M   26061.17471344  .00004565  00000+0  23967-3 0  9990,2 58562  97.5464 135.1319 0005467 339.3363  20.7647 15.16212418122336,6895.437215692006,94.9734999466282,524.4372156920062
INTUITION-1,58565,26,60.16810661,97.3761,155.8317,0.0003618,219.0945,141.0066,952.9311053999999,0.0013116,U,active,1 58565U 23174CW  26060.16810661  .00372067  00000+0  13116-2 0  9997,2 58565  97.3761 155.8317 0003618 219.0945 141.0066 15.88218509129526,6685.41450588946,90.66762487906506,314.4145058894601
QPS-SAR-5 (TSUKUYOMI-I),58578,26,61.02754287,42.00930000000001,264.9934,0.0025532,281.6344,78.1623,911.8963458,0.00077424,U,active,1 58578U 23196A   26061.02754287  .00016876  00000+0  77424-3 0  9998,2 58578  42.0093 264.9934 0025532 281.6344  78.1623 15.19827243121929,6884.49926636054,94.74761073222847,513.4992663605399
YAOGAN-41,58582,26,61.04207794,3.3272,311.5608,0.0010407,182.1834,164.394,60.16572540000001,0.0,U,active,1 58582U 23197A   26061.04207794 -.00000380  00000+0  00000+0 0  9998,2 58582   3.3272 311.5608 0010407 182.1834 164.3940  1.00276209  8248,42163.491798991396,1436.0335461026452,35792.491798991396
ARKTIKA-M 2,58584,26,59.09187419,63.21970000000001,166.44930000000002,0.6876411,267.7961,18.8403,120.3686544,0.0,U,active,1 58584U 23198A   26059.09187419  .00000130  00000+0  00000+0 0  9996,2 58584  63.2197 166.4493 6876411 267.7961  18.8403  2.00614424 16132,26555.862085350193,717.7948480912819,20184.862085350193
STARLINK-31044,58589,26,61.16668981,43.0008,210.65610000000004,0.000119,267.3649,251.21179999999998,905.9819297999999,0.065373,U,active,1 58589U 23200A   26061.16668981  .01177961  00000+0  65373-1 0  9998,2 58589  43.0008 210.6561 0001190 267.3649 251.2118 15.09969883  5767,6914.42894238407,95.36614049142595,543.4289423840701
STARLINK-31062,58590,26,60.43222403,43.0028,216.7052,0.0001136,255.3982,104.6735,901.5231120000002,9.0964e-05,U,active,1 58590U 23200B   26060.43222403  .00001025  00000+0  90964-4 0  9997,2 58590  43.0028 216.7052 0001136 255.3982 104.6735 15.02538520122332,6937.208776831072,95.83780920305456,566.2087768310721
STARLINK-31096,58592,26,61.16668981,43.0009,211.5965,0.0001399,271.1632,219.8608,912.763809,0.050038000000000006,U,active,1 58592U 23200D   26061.16668981  .01247417  00000+0  50038-1 0  9998,2 58592  43.0009 211.5965 0001399 271.1632 219.8608 15.21273015  5815,6880.136694833241,94.65756546006963,509.13669483324065
STARLINK-31094,58593,26,61.16668981,43.0009,210.9437,0.0001389,280.1306,126.8065,912.2131554,0.05257500000000001,U,active,1 58593U 23200E   26061.16668981  .01279116  00000+0  52575-1 0  9998,2 58593  43.0009 210.9437 0001389 280.1306 126.8065 15.20355259  5713,6882.905193226452,94.71470509775111,511.90519322645196
STARLINK-31075,58594,26,61.16668981,43.0011,210.69,0.0001669,238.8541,270.0274,912.3022626,0.08840500000000001,U,active,1 58594U 23200F   26061.16668981  .02168373  00000+0  88405-1 0  9993,2 58594  43.0011 210.6900 0001669 238.8541 270.0274 15.20503771  5663,6882.457003761714,94.70545403862732,511.4570037617141
STARLINK-30857,58595,26,61.16668981,43.0,210.9905,0.0001352,306.7617,77.0614,909.994122,0.10124,U,active,1 58595U 23200G   26061.16668981  .02229777  00000+0  10124+0 0  9991,2 58595  43.0000 210.9905 0001352 306.7617  77.0614 15.16656870  5665,6894.090024324521,94.94566823147018,523.0900243245214
STARLINK-31059,58596,26,60.40259878,43.0042,58.9275,0.000194,289.9472,70.117,916.5432186,0.00015531,U,active,1 58596U 23200H   26060.40259878  .00004013  00000+0  15531-3 0  9992,2 58596  43.0042  58.9275 0001940 289.9472  70.1170 15.27572031124184,6861.209958196221,94.26724048209546,490.2099581962211
STARLINK-31087,58597,26,61.16668981,43.0005,210.6188,0.0001507,272.268,270.5684,913.0228398,0.047218,U,active,1 58597U 23200J   26061.16668981  .01186764  00000+0  47218-1 0  9996,2 58597  43.0005 210.6188 0001507 272.2680 270.5684 15.21704733  5666,6878.835338858382,94.63071046385448,507.8353388583819
STARLINK-31079,58598,26,61.16668981,42.986,183.6778,0.0027167,336.4996,59.0489,921.7096626,0.0042805,U,active,1 58598U 23200K   26061.16668981  .00159055  00000+0  42805-2 0  9997,2 58598  42.9860 183.6778 0027167 336.4996  59.0489 15.36182771  5695,6835.546594196222,93.738845870704,464.54659419622203
STARLINK-31052,58600,26,61.16668981,43.0005,210.709,0.0001733,238.4816,264.0617,910.8399024000001,0.09342600000000001,U,active,1 58600U 23200M   26061.16668981  .02132564  00000+0  93426-1 0  9993,2 58600  43.0005 210.7090 0001733 238.4816 264.0617 15.18066504  5814,6889.821591072059,94.85750434554085,518.8215910720592
STARLINK-31074,58601,26,61.16668981,43.0006,210.7888,0.0001075,264.4449,203.3012,909.8108664,0.10194,U,active,1 58601U 23200N   26061.16668981  .02225505  00000+0  10194+0 0  9991,2 58601  43.0006 210.7888 0001075 264.4449 203.3012 15.16351444  5814,6895.015739211928,94.96479234401019,524.0157392119281
